id,Brand Name,price,Discription,Warranty,instalment,Discount,Seller Name
2.02E+20,Local Brand ,Rs. 220,Honey Talbeena Haramain Food 200gm,7 Days ReturnsChange of mind is not applicable,not availble ,-27%,SFS SHOP
2.02E+20,Local Brand ,"Rs. 1,375",Senor dewdrop jalapeno (nacho sliced ) 2.35 kg,7 Days ReturnsChange of mind is not applicable,not availble ,0,B.S DIGITAL
2.02E+20,Local Brand ,Rs. 999,Samyang Noodles 140 grams instant Noodles Green Jjajang Hot Chicken Flavor Korean Noodles Ramen black beans Korean Imported Korean Noodles,7 Days ReturnsChange of mind is not applicable,not availble ,-23%,Infinity Box
2.02E+20,Local Brand ,Rs. 129,Fresh Amla Murrabba | Amla Preserve | Amla Muraba / Maraba ( Amla Ka Murrabba) - 250 Gram,7 Days ReturnsChange of mind is not applicable,not availble ,0,M&S Traders
2.02E+20,Local Brand ,Rs. 199,Green Ashrafi Murabba ( Pumkin Preserve ) Ashrafi Murrabba / Maraba / Muraba- 500 Grams,7 Days ReturnsChange of mind is not applicable,not availble ,0,M&S Traders
2.02E+20,Local Brand ,Rs. 839,Pack Of 3 -  Murabba Bealgiri (Woodapple Preserve) Belgiri/Bilgiri jam 400.Gms Beal Ka Murabba,7 Days ReturnsChange of mind is not applicable,not availble ,0,Saeedi Enterprises (Karachi)
2.02E+20,Local Brand ,Rs. 899,pure bees honey 1kg (excellent quality honey),7 Days ReturnsChange of mind is not applicable,not availble ,0,Shop Where You Come First
2.02E+20,KHAN DRY FRUIT.,Rs. 800,100% Natural Inshell Dried Walnut 1000gm Packs | Premium Akhrot Giri | High in Protein & Iron | Low Calorie Nut, not avalible ,not availble ,-33%,KHAN DRY FRUITS
2.02E+20,Young's Food,Rs. 603,Young's Real Mayonnaise 900 ml Pouch, not avalible ,not availble ,-4%,Young's Foods
2.02E+20,Ahmed Foods,Rs. 330,Apple Preserve Murabba 450 gm, not avalible ,not availble ,-6%,Ahmed Foods
2.02E+20,Young's Food,Rs. 373,Young’s Real Mayonnaise 450ml, not avalible ,not availble ,-4%,Young's Foods
2.02E+20,Local Brand ,Rs. 479,Samyang Noodles Hot Chicken Flavor Ramen (Black) 140 gram Instant Noodles (Imported) Korean Noodles,7 Days ReturnsChange of mind is not applicable,not availble ,-40%,Quik Shop 1593773344
2.02E+20,Local Brand ,Rs. 459,"Jenan Instant Quick Cooking, Freshly Milled, White Oats, Super Food, 500gm, UAE Imported",7 Days ReturnsChange of mind is not applicable,not availble ,-16%,Blessings Store
2.02E+20,Spica Spices,"Rs. 1,250",Green Cardamom (Sabz Elaichi) - 250 gm Gross wieght, not avalible ,not availble ,-38%,Spica Spices
2.02E+20,Local Brand ,Rs. 110,National Masala Broast Mix 100 gm,7 Days ReturnsChange of mind is not applicable,not availble ,0,happy zone.shop
2.02E+20,Simply the great food,Rs. 475,Sidr (Beri) Honey 125 gm (Simply The Great Food) Raw & Cold-Extracted, not avalible ,not availble ,-24%,Simply The Great Food
2.02E+20,Local Brand ,Rs. 220,Biryani Recipe Mix 2peck,7 Days ReturnsChange of mind is not applicable,not availble ,-4%,Be hari shah
2.02E+20,Local Brand ,Rs. 320,Coconuts 500gm 100% fresh Quality,7 Days ReturnsChange of mind is not applicable,not availble ,-9%,QADIR KHAN DRY FRUITS SHOP
